machine;size;tilew;tileh;threads;kernel;variant;iterations;schedule;label;arg;time
ernst;4096;32;32;1;life;seq;1000;;unlabelled;guns;17049057
ernst;4096;1;1;1;life;ocl;1000;;unlabelled;guns;17841353
ernst;4096;1;2;1;life;ocl;1000;;unlabelled;guns;9159403
ernst;4096;1;4;1;life;ocl;1000;;unlabelled;guns;5969763
ernst;4096;1;8;1;life;ocl;1000;;unlabelled;guns;5252696
ernst;4096;1;16;1;life;ocl;1000;;unlabelled;guns;5399841
ernst;4096;1;32;1;life;ocl;1000;;unlabelled;guns;5363380
ernst;4096;1;64;1;life;ocl;1000;;unlabelled;guns;5432944
ernst;4096;1;128;1;life;ocl;1000;;unlabelled;guns;5497897
ernst;4096;1;256;1;life;ocl;1000;;unlabelled;guns;5316872
ernst;4096;1;512;1;life;ocl;1000;;unlabelled;guns;5295352
ernst;4096;1;1024;1;life;ocl;1000;;unlabelled;guns;5776197
ernst;4096;2;1;1;life;ocl;1000;;unlabelled;guns;8701079
ernst;4096;2;2;1;life;ocl;1000;;unlabelled;guns;4661715
ernst;4096;2;4;1;life;ocl;1000;;unlabelled;guns;2815453
ernst;4096;2;8;1;life;ocl;1000;;unlabelled;guns;2595877
ernst;4096;2;16;1;life;ocl;1000;;unlabelled;guns;2722818
ernst;4096;2;32;1;life;ocl;1000;;unlabelled;guns;2818268
ernst;4096;2;64;1;life;ocl;1000;;unlabelled;guns;2812950
ernst;4096;2;128;1;life;ocl;1000;;unlabelled;guns;2828107
ernst;4096;2;256;1;life;ocl;1000;;unlabelled;guns;2856306
ernst;4096;2;512;1;life;ocl;1000;;unlabelled;guns;2930421
ernst;4096;4;1;1;life;ocl;1000;;unlabelled;guns;4494546
ernst;4096;4;2;1;life;ocl;1000;;unlabelled;guns;2380273
ernst;4096;4;4;1;life;ocl;1000;;unlabelled;guns;1373752
ernst;4096;4;8;1;life;ocl;1000;;unlabelled;guns;1319432
ernst;4096;4;16;1;life;ocl;1000;;unlabelled;guns;1439977
ernst;4096;4;32;1;life;ocl;1000;;unlabelled;guns;1471424
ernst;4096;4;64;1;life;ocl;1000;;unlabelled;guns;1474167
ernst;4096;4;128;1;life;ocl;1000;;unlabelled;guns;1472065
ernst;4096;4;256;1;life;ocl;1000;;unlabelled;guns;1533719
ernst;4096;8;1;1;life;ocl;1000;;unlabelled;guns;2651244
ernst;4096;8;2;1;life;ocl;1000;;unlabelled;guns;1275090
ernst;4096;8;4;1;life;ocl;1000;;unlabelled;guns;747428
ernst;4096;8;8;1;life;ocl;1000;;unlabelled;guns;756565
ernst;4096;8;16;1;life;ocl;1000;;unlabelled;guns;747999
ernst;4096;8;32;1;life;ocl;1000;;unlabelled;guns;75166
ernst;4096;8;64;1;life;ocl;1000;;unlabelled;guns;761901
ernst;4096;8;128;1;life;ocl;1000;;unlabelled;guns;802418
ernst;4096;16;1;1;life;ocl;1000;;unlabelled;guns;1250308
ernst;4096;16;2;1;life;ocl;1000;;unlabelled;guns;618470
ernst;4096;16;4;1;life;ocl;1000;;unlabelled;guns;398778
ernst;4096;16;8;1;life;ocl;1000;;unlabelled;guns;398707
ernst;4096;16;16;1;life;ocl;1000;;unlabelled;guns;433969
ernst;4096;16;32;1;life;ocl;1000;;unlabelled;guns;519992
ernst;4096;16;64;1;life;ocl;1000;;unlabelled;guns;696188
ernst;4096;32;1;1;life;ocl;1000;;unlabelled;guns;734374
ernst;4096;32;2;1;life;ocl;1000;;unlabelled;guns;400266
ernst;4096;32;4;1;life;ocl;1000;;unlabelled;guns;402123
ernst;4096;32;8;1;life;ocl;1000;;unlabelled;guns;415038
ernst;4096;32;16;1;life;ocl;1000;;unlabelled;guns;468993
ernst;4096;32;32;1;life;ocl;1000;;unlabelled;guns;566411
ernst;4096;32;32;1;life;ocl;1000;;unlabelled;guns;423016
ernst;4096;64;1;1;life;ocl;1000;;unlabelled;guns;402391
ernst;4096;64;2;1;life;ocl;1000;;unlabelled;guns;414629
ernst;4096;64;4;1;life;ocl;1000;;unlabelled;guns;467053
ernst;4096;64;8;1;life;ocl;1000;;unlabelled;guns;565991
ernst;4096;64;16;1;life;ocl;1000;;unlabelled;guns;415163
ernst;4096;128;1;1;life;ocl;1000;;unlabelled;guns;403445
ernst;4096;128;2;1;life;ocl;1000;;unlabelled;guns;439325
ernst;4096;128;4;1;life;ocl;1000;;unlabelled;guns;552863
ernst;4096;128;8;1;life;ocl;1000;;unlabelled;guns;45165
ernst;4096;256;1;1;life;ocl;1000;;unlabelled;guns;452011
ernst;4096;256;2;1;life;ocl;1000;;unlabelled;guns;568888
ernst;4096;256;4;1;life;ocl;1000;;unlabelled;guns;514988
ernst;4096;512;1;1;life;ocl;1000;;unlabelled;guns;582070
ernst;4096;1024;1;1;life;ocl;1000;;unlabelled;guns;639070
ernst;4096;1;1;1;life;ocl_finish;1000;;unlabelled;guns;16532432
ernst;4096;1;2;1;life;ocl_finish;1000;;unlabelled;guns;8680766
ernst;4096;1;4;1;life;ocl_finish;1000;;unlabelled;guns;5814993
ernst;4096;1;8;1;life;ocl_finish;1000;;unlabelled;guns;5700662
ernst;4096;1;16;1;life;ocl_finish;1000;;unlabelled;guns;5524475
ernst;4096;1;32;1;life;ocl_finish;1000;;unlabelled;guns;5456092
ernst;4096;1;64;1;life;ocl_finish;1000;;unlabelled;guns;5437402
ernst;4096;1;128;1;life;ocl_finish;1000;;unlabelled;guns;5479211
ernst;4096;1;256;1;life;ocl_finish;1000;;unlabelled;guns;5479083
ernst;4096;1;512;1;life;ocl_finish;1000;;unlabelled;guns;5672159
ernst;4096;1;1024;1;life;ocl_finish;1000;;unlabelled;guns;5895213
ernst;4096;2;1;1;life;ocl_finish;1000;;unlabelled;guns;8361781
ernst;4096;2;2;1;life;ocl_finish;1000;;unlabelled;guns;444781
ernst;4096;2;4;1;life;ocl_finish;1000;;unlabelled;guns;2976689
ernst;4096;2;8;1;life;ocl_finish;1000;;unlabelled;guns;2913491
ernst;4096;2;16;1;life;ocl_finish;1000;;unlabelled;guns;2828430
ernst;4096;2;32;1;life;ocl_finish;1000;;unlabelled;guns;2818080
ernst;4096;2;64;1;life;ocl_finish;1000;;unlabelled;guns;2818608
