machine;size;tilew;tileh;threads;kernel;variant;iterations;schedule;label;arg;time
ernst;6208;16;16;1;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;7353550
ernst;6208;16;16;2;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;3104935
ernst;6208;16;16;3;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;2079671
ernst;6208;16;16;4;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;1656251
ernst;6208;16;16;5;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;1391399
ernst;6208;16;16;6;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;1134959
ernst;6208;16;16;7;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;1137001
ernst;6208;16;16;8;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;1041158
ernst;6208;16;16;9;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;1411848
ernst;6208;16;16;10;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;1001461
ernst;6208;16;16;11;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;952250
ernst;6208;16;16;12;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;840148
ernst;6208;16;16;13;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;922238
ernst;6208;16;16;14;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;870120
ernst;6208;16;16;15;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;755457
ernst;6208;16;16;16;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;782833
ernst;6208;16;16;17;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;781529
ernst;6208;16;16;18;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;717531
ernst;6208;16;16;19;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;789263
ernst;6208;16;16;20;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;718471
ernst;6208;16;16;21;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;689627
ernst;6208;16;16;22;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;723948
ernst;6208;16;16;23;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;667811
ernst;6208;16;16;24;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;704300
ernst;6208;16;16;25;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;823318
ernst;6208;16;16;26;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;814850
ernst;6208;16;16;27;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;777748
ernst;6208;16;16;28;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;776657
ernst;6208;16;16;29;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;769698
ernst;6208;16;16;30;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;780020
ernst;6208;16;16;31;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;729131
ernst;6208;16;16;32;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;727883
ernst;6208;16;16;33;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;734090
ernst;6208;16;16;34;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;744545
ernst;6208;16;16;35;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;734716
ernst;6208;16;16;36;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;737608
ernst;6208;16;16;37;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;788680
ernst;6208;16;16;38;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;786907
ernst;6208;16;16;39;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;755599
ernst;6208;16;16;40;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;738323
ernst;6208;16;16;41;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;741332
ernst;6208;16;16;42;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;748361
ernst;6208;16;16;43;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;719693
ernst;6208;16;16;44;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;709488
ernst;6208;16;16;45;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;721300
ernst;6208;16;16;46;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;682813
ernst;6208;16;16;1;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;6095044
ernst;6208;16;16;2;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;3102433
ernst;6208;16;16;3;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;2079658
ernst;6208;16;16;4;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;1642408
ernst;6208;16;16;5;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;1387105
ernst;6208;16;16;6;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;1888416
ernst;6208;16;16;7;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;8034031
ernst;6208;16;16;8;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;8380024
ernst;6208;16;16;9;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;8313683
ernst;6208;16;16;10;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;8330554
ernst;6208;16;16;11;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;5162319
ernst;6208;16;16;12;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;856134
ernst;6208;16;16;13;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;900765
ernst;6208;16;16;14;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;868869
ernst;6208;16;16;15;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;743618
ernst;6208;16;16;16;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;776497
ernst;6208;16;16;17;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;740837
ernst;6208;16;16;18;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;725757
ernst;6208;16;16;19;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;792206
ernst;6208;16;16;20;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;696249
ernst;6208;16;16;21;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;678029
ernst;6208;16;16;22;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;778133
ernst;6208;16;16;23;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;662801
ernst;6208;16;16;24;life;ocl_hybrid_opti;100;;unlabelled;meta3x3;676694
