machine;size;tilew;tileh;threads;kernel;variant;iterations;schedule;label;arg;time
ernst;4096;32;32;48;life;seq;1000;;unlabelled;random;34723934
ernst;4096;1;1;48;life;ocl;1000;;unlabelled;random;16767984
ernst;4096;1;2;48;life;ocl;1000;;unlabelled;random;8782427
ernst;4096;1;4;48;life;ocl;1000;;unlabelled;random;5492836
ernst;4096;1;8;48;life;ocl;1000;;unlabelled;random;5338023
ernst;4096;1;16;48;life;ocl;1000;;unlabelled;random;5173566
ernst;4096;1;32;48;life;ocl;1000;;unlabelled;random;5186170
ernst;4096;1;64;48;life;ocl;1000;;unlabelled;random;5199145
ernst;4096;1;128;48;life;ocl;1000;;unlabelled;random;5360444
ernst;4096;1;256;48;life;ocl;1000;;unlabelled;random;5293530
ernst;4096;1;512;48;life;ocl;1000;;unlabelled;random;5326065
ernst;4096;1;1024;48;life;ocl;1000;;unlabelled;random;5763982
ernst;4096;2;1;48;life;ocl;1000;;unlabelled;random;8713653
ernst;4096;2;2;48;life;ocl;1000;;unlabelled;random;4486162
ernst;4096;2;4;48;life;ocl;1000;;unlabelled;random;2754177
ernst;4096;2;8;48;life;ocl;1000;;unlabelled;random;2750093
ernst;4096;2;16;48;life;ocl;1000;;unlabelled;random;2750286
ernst;4096;2;32;48;life;ocl;1000;;unlabelled;random;2762925
ernst;4096;2;64;48;life;ocl;1000;;unlabelled;random;2753884
ernst;4096;2;128;48;life;ocl;1000;;unlabelled;random;2769886
ernst;4096;2;256;48;life;ocl;1000;;unlabelled;random;2820454
ernst;4096;2;512;48;life;ocl;1000;;unlabelled;random;2836340
ernst;4096;4;1;48;life;ocl;1000;;unlabelled;random;4299133
ernst;4096;4;2;48;life;ocl;1000;;unlabelled;random;2432513
ernst;4096;4;4;48;life;ocl;1000;;unlabelled;random;1458046
ernst;4096;4;8;48;life;ocl;1000;;unlabelled;random;1388674
ernst;4096;4;16;48;life;ocl;1000;;unlabelled;random;1450217
ernst;4096;4;32;48;life;ocl;1000;;unlabelled;random;1447837
ernst;4096;4;64;48;life;ocl;1000;;unlabelled;random;1455204
ernst;4096;4;128;48;life;ocl;1000;;unlabelled;random;1447998
ernst;4096;4;256;48;life;ocl;1000;;unlabelled;random;1498544
ernst;4096;8;1;48;life;ocl;1000;;unlabelled;random;2351291
ernst;4096;8;2;48;life;ocl;1000;;unlabelled;random;1242630
