machine;size;tilew;tileh;threads;kernel;variant;iterations;schedule;label;arg;time
ernst;4096;16;16;1;life;ocl_hybrid_opti;100;;unlabelled;random;6163312
ernst;4096;16;16;2;life;ocl_hybrid_opti;100;;unlabelled;random;2640344
ernst;4096;16;16;3;life;ocl_hybrid_opti;100;;unlabelled;random;1731715
ernst;4096;16;16;4;life;ocl_hybrid_opti;100;;unlabelled;random;1367510
ernst;4096;16;16;5;life;ocl_hybrid_opti;100;;unlabelled;random;1292736
ernst;4096;16;16;6;life;ocl_hybrid_opti;100;;unlabelled;random;1093970
ernst;4096;16;16;7;life;ocl_hybrid_opti;100;;unlabelled;random;1035843
ernst;4096;16;16;8;life;ocl_hybrid_opti;100;;unlabelled;random;934602
ernst;4096;16;16;9;life;ocl_hybrid_opti;100;;unlabelled;random;859907
ernst;4096;16;16;10;life;ocl_hybrid_opti;100;;unlabelled;random;858718
ernst;4096;16;16;11;life;ocl_hybrid_opti;100;;unlabelled;random;826613
ernst;4096;16;16;12;life;ocl_hybrid_opti;100;;unlabelled;random;805186
ernst;4096;16;16;13;life;ocl_hybrid_opti;100;;unlabelled;random;1158402
ernst;4096;16;16;14;life;ocl_hybrid_opti;100;;unlabelled;random;2941516
ernst;4096;16;16;15;life;ocl_hybrid_opti;100;;unlabelled;random;788155
ernst;4096;16;16;16;life;ocl_hybrid_opti;100;;unlabelled;random;750559
ernst;4096;16;16;17;life;ocl_hybrid_opti;100;;unlabelled;random;696676
ernst;4096;16;16;18;life;ocl_hybrid_opti;100;;unlabelled;random;692241
ernst;4096;16;16;19;life;ocl_hybrid_opti;100;;unlabelled;random;695196
ernst;4096;16;16;20;life;ocl_hybrid_opti;100;;unlabelled;random;676882
ernst;4096;16;16;21;life;ocl_hybrid_opti;100;;unlabelled;random;657578
ernst;4096;16;16;22;life;ocl_hybrid_opti;100;;unlabelled;random;699778
ernst;4096;16;16;23;life;ocl_hybrid_opti;100;;unlabelled;random;666024
ernst;4096;16;16;24;life;ocl_hybrid_opti;100;;unlabelled;random;756272
ernst;4096;16;16;25;life;ocl_hybrid_opti;100;;unlabelled;random;922143
ernst;4096;16;16;26;life;ocl_hybrid_opti;100;;unlabelled;random;872703
ernst;4096;16;16;27;life;ocl_hybrid_opti;100;;unlabelled;random;835316
ernst;4096;16;16;28;life;ocl_hybrid_opti;100;;unlabelled;random;813959
ernst;4096;16;16;29;life;ocl_hybrid_opti;100;;unlabelled;random;821377
ernst;4096;16;16;30;life;ocl_hybrid_opti;100;;unlabelled;random;1991906
ernst;4096;16;16;31;life;ocl_hybrid_opti;100;;unlabelled;random;1664595
ernst;4096;16;16;32;life;ocl_hybrid_opti;100;;unlabelled;random;1202257
ernst;4096;16;16;33;life;ocl_hybrid_opti;100;;unlabelled;random;815187
ernst;4096;16;16;34;life;ocl_hybrid_opti;100;;unlabelled;random;706217
ernst;4096;16;16;35;life;ocl_hybrid_opti;100;;unlabelled;random;734186
ernst;4096;16;16;36;life;ocl_hybrid_opti;100;;unlabelled;random;658706
ernst;4096;16;16;37;life;ocl_hybrid_opti;100;;unlabelled;random;742592
ernst;4096;16;16;38;life;ocl_hybrid_opti;100;;unlabelled;random;718503
ernst;4096;16;16;39;life;ocl_hybrid_opti;100;;unlabelled;random;690712
ernst;4096;16;16;40;life;ocl_hybrid_opti;100;;unlabelled;random;687698
ernst;4096;16;16;41;life;ocl_hybrid_opti;100;;unlabelled;random;697981
ernst;4096;16;16;42;life;ocl_hybrid_opti;100;;unlabelled;random;657517
