machine;size;tilew;tileh;threads;kernel;variant;iterations;schedule;label;arg;time
ernst;6208;16;16;1;life;ocl_hybrid;100;;unlabelled;meta3x3;9421498
ernst;6208;16;16;2;life;ocl_hybrid;100;;unlabelled;meta3x3;6592569
ernst;6208;16;16;3;life;ocl_hybrid;100;;unlabelled;meta3x3;5535810
ernst;6208;16;16;4;life;ocl_hybrid;100;;unlabelled;meta3x3;5081172
ernst;6208;16;16;5;life;ocl_hybrid;100;;unlabelled;meta3x3;4747548
ernst;6208;16;16;6;life;ocl_hybrid;100;;unlabelled;meta3x3;4463166
ernst;6208;16;16;7;life;ocl_hybrid;100;;unlabelled;meta3x3;4475084
ernst;6208;16;16;8;life;ocl_hybrid;100;;unlabelled;meta3x3;4345812
ernst;6208;16;16;9;life;ocl_hybrid;100;;unlabelled;meta3x3;4185532
ernst;6208;16;16;10;life;ocl_hybrid;100;;unlabelled;meta3x3;4292473
ernst;6208;16;16;11;life;ocl_hybrid;100;;unlabelled;meta3x3;4247254
ernst;6208;16;16;12;life;ocl_hybrid;100;;unlabelled;meta3x3;4122856
ernst;6208;16;16;13;life;ocl_hybrid;100;;unlabelled;meta3x3;4193430
ernst;6208;16;16;14;life;ocl_hybrid;100;;unlabelled;meta3x3;4080854
ernst;6208;16;16;15;life;ocl_hybrid;100;;unlabelled;meta3x3;3818758
ernst;6208;16;16;16;life;ocl_hybrid;100;;unlabelled;meta3x3;3800717
ernst;6208;16;16;17;life;ocl_hybrid;100;;unlabelled;meta3x3;3723297
ernst;6208;16;16;18;life;ocl_hybrid;100;;unlabelled;meta3x3;3922507
ernst;6208;16;16;19;life;ocl_hybrid;100;;unlabelled;meta3x3;4244550
ernst;6208;16;16;20;life;ocl_hybrid;100;;unlabelled;meta3x3;3505615
ernst;6208;16;16;21;life;ocl_hybrid;100;;unlabelled;meta3x3;3887470
ernst;6208;16;16;22;life;ocl_hybrid;100;;unlabelled;meta3x3;3428714
ernst;6208;16;16;23;life;ocl_hybrid;100;;unlabelled;meta3x3;3729305
ernst;6208;16;16;24;life;ocl_hybrid;100;;unlabelled;meta3x3;3615086
ernst;6208;16;16;25;life;ocl_hybrid;100;;unlabelled;meta3x3;3681022
ernst;6208;16;16;26;life;ocl_hybrid;100;;unlabelled;meta3x3;3855462
ernst;6208;16;16;27;life;ocl_hybrid;100;;unlabelled;meta3x3;3934544
ernst;6208;16;16;28;life;ocl_hybrid;100;;unlabelled;meta3x3;3571518
ernst;6208;16;16;29;life;ocl_hybrid;100;;unlabelled;meta3x3;3878081
ernst;6208;16;16;30;life;ocl_hybrid;100;;unlabelled;meta3x3;3671291
ernst;6208;16;16;31;life;ocl_hybrid;100;;unlabelled;meta3x3;3823942
ernst;6208;16;16;32;life;ocl_hybrid;100;;unlabelled;meta3x3;3858468
