machine;size;tilew;tileh;threads;kernel;variant;iterations;schedule;label;arg;time
ernst;4096;16;16;1;life;ocl_hybrid_opti;100;;unlabelled;sparse;126156
ernst;4096;16;16;2;life;ocl_hybrid_opti;100;;unlabelled;sparse;74849
ernst;4096;16;16;3;life;ocl_hybrid_opti;100;;unlabelled;sparse;64530
ernst;4096;16;16;4;life;ocl_hybrid_opti;100;;unlabelled;sparse;59534
ernst;4096;16;16;5;life;ocl_hybrid_opti;100;;unlabelled;sparse;55756
ernst;4096;16;16;6;life;ocl_hybrid_opti;100;;unlabelled;sparse;53096
ernst;4096;16;16;7;life;ocl_hybrid_opti;100;;unlabelled;sparse;49443
ernst;4096;16;16;8;life;ocl_hybrid_opti;100;;unlabelled;sparse;51040
ernst;4096;16;16;9;life;ocl_hybrid_opti;100;;unlabelled;sparse;49066
ernst;4096;16;16;10;life;ocl_hybrid_opti;100;;unlabelled;sparse;47836
ernst;4096;16;16;11;life;ocl_hybrid_opti;100;;unlabelled;sparse;46883
ernst;4096;16;16;12;life;ocl_hybrid_opti;100;;unlabelled;sparse;47791
ernst;4096;16;16;13;life;ocl_hybrid_opti;100;;unlabelled;sparse;44498
ernst;4096;16;16;14;life;ocl_hybrid_opti;100;;unlabelled;sparse;45560
ernst;4096;16;16;15;life;ocl_hybrid_opti;100;;unlabelled;sparse;43724
ernst;4096;16;16;16;life;ocl_hybrid_opti;100;;unlabelled;sparse;43278
ernst;4096;16;16;17;life;ocl_hybrid_opti;100;;unlabelled;sparse;41696
ernst;4096;16;16;18;life;ocl_hybrid_opti;100;;unlabelled;sparse;41919
ernst;4096;16;16;19;life;ocl_hybrid_opti;100;;unlabelled;sparse;41438
ernst;4096;16;16;20;life;ocl_hybrid_opti;100;;unlabelled;sparse;41306
ernst;4096;16;16;21;life;ocl_hybrid_opti;100;;unlabelled;sparse;41109
ernst;4096;16;16;22;life;ocl_hybrid_opti;100;;unlabelled;sparse;42515
ernst;4096;16;16;23;life;ocl_hybrid_opti;100;;unlabelled;sparse;41815
ernst;4096;16;16;24;life;ocl_hybrid_opti;100;;unlabelled;sparse;40742
